,Product Name,Product Description,Discounted Price,Original Price,Discount Percentage,Customer Rated Rating,Customer Review Test,Reviewers Name,Review_posted_dates
32,Blackberrys,Polo Collar Slim Fit T-shirt,₹716,₹895,(20% OFF),[],[],[],[]
33,Roadster,Men Black High-Low Cotton T-shirt,₹359,₹999,(64% OFF),"[5, 5, 5]","['The perfect fit ....and really a good quality.. roadster never disappoints me ..loved it ✌?', 'Best product within price .', 'Roadster is best quality and affordable brand.....and this tshirt is best example of this.']","['Goutam Roxx', 'Sandeep Kashyap', 'Abhishek Dubey']","['22 Feb 2023', '28 Aug 2021', '30 Jan 2023']"
34,DIXCY SCOTT,Men Black Polo Collar T-shirt,₹280,₹669,(58% OFF),"[4, 4, 5]","[""Loved the fabric, Quality n colour is awasome but L size is little big ,but this on price it's great deal."", 'Quality is good as expected. Thank you Myntra for giving good product', 'Material is good & fast delivery']","['Sumit', 'Sunil Kumar Sahu', 'Suresh']","['10 Oct 2023', '28 Nov 2022', '21 Sept 2023']"
35,Roadster,The Lifestyle Co Men Black Polo Collar Cotton Pure Cotton T-shirt,₹449,₹999,(55% OFF),"[5, 4, 4]","[""It's good in first impression... Not for the slim. Guys it's a regular fit tshirt and quality is soft but i wonder that it will retain its colour after few wash Or not"", 'Pros : Nice color, Fit, worth price, soft in wearing Cons : Thin cotton cloth, somewhat long than usual Others : Origin in Bangladesh Overall Good purchase', 'Its a good t shirt but somewhat big for me i bought S size and im 5f8in but skinny so it feels boxy but after getting it tailored it looks perfect Also if you are short dude avoid it but you can chop off its length if you want.']","['Nilam Sah', 'Myntra Customer', 'Harsh Dayal']","['10 Apr 2021', '5 Dec 2021', '3 Feb 2021']"
36,Roadster,Grey Typography Printed Pure Cotton Oversized Tshirt,₹384,₹1099,(65% OFF),"[4, 5, 5]","['I mean the print quality, the fabric of the cloth overall this is a decently built you can go sure for this Tshirt.', 'Material is very nice', 'Great at this price range']","['Sir Jence', 'Afrah', 'Rithik Aiias']","['10 Dec 2023', '19 Nov 2023', '8 Nov 2023']"
37,Jack & Jones,Graphic Printed Slim Fit Pure Cotton T-shirt,₹494,₹1099,(55% OFF),[],[],[],[]
38,THE HOLLANDER,Graphic Printed Cotton T-shirts,₹499,₹1049,(Rs. 550 OFF),"[4, 4, 5]","['Full worth it product', 'Good', 'By applying coupon i was getting it for 450 but when i ask for delivery boy QR and the moment i scanned it shows 477 which is quite a disappointment for me 1) t shirt is awesome quality is great..for people like me(short) i was also afraid of size but after wearing i can carry it very nicely....looks great 2) tauba tauba majja agyaaa pehen ke do barr toh sochoo hi matttt tisrii baar sochke order kr doo For this t shirt habibi come on myntra only for sure 🙈']","['Ashish Kumar', 'Piyush Kanojia', 'Ayush Bro']","['17 Nov 2023', '17 Sept 2023', '1 Nov 2023']"
39,Bewakoof,Black Graphic NASA Printed Cotton Oversized T-Shirt,₹649,₹1499,(Rs. 850 OFF),"[5, 4, 4]","['Perfect Quality and size I have order M size my height 5-10', 'Beautiful Tshirt with great design, nice fabric and a perfect fit.', 'Good quality Tshirt. Colour, the design and details are quite good too.. fabric is nice and comfortable easy to wash.']","['Shakeeb Azmi', 'Gaurav Rana', 'Ulkesh Patkar']","['8 June 2023', '21 Oct 2023', '30 Dec 2023']"
40,NOBERO,Round Neck Short Sleeves Oversized Cotton T-shirt,₹469,₹999,(Rs. 530 OFF),[],[],[],[]
41,Louis Philippe Jeans,Men Black Graphic Printed Pure Cotton Slim Fit Casual T-shirt,₹681,₹1049,(35% OFF),"[5, 5, 5]","['So comfortable with a perfect feeting', 'Honestly , T- shirt is too Good better than higher cost product of LP brand. This is my 2 order after experiencing the quality and comfort No doubt Go for it', 'Totally worth everything penny! Cotton quality says everything The print guve minimalist look Goo for it']","['Md Zafar Imam', 'Lekku Yudik', 'Dhairyasheel Deshmukh']","['2 Mar 2023', '17 Sept 2022', '3 Mar 2022']"
